x,y,sd
20410.8,15776.2,21.0
20908.7,2695.3,31.6
15456.8,4406.9,48.0
8762.1,2784.9,54.2
18754.9,14968.5,51.0
23039.1,15914.5,22.3
17493.3,2926.4,56.8
18906.3,24743.4,35.2
20735.5,1649.7,21.2
19833.7,23762.0,49.0
17197.3,4974.7,46.3
20104.0,23121.2,20.4
23337.1,5711.5,64.2
24930.1,12265.7,30.9
21788.3,18982.5,57.0
22387.4,16966.6,20.6
23478.7,14948.0,22.5
20977.3,20990.0,45.1
20192.1,17182.0,28.4
15526.8,4250.0,34.4
24802.5,5924.3,49.0
20381.1,22076.9,23.6
21110.7,13926.4,41.3
24384.4,13442.2,17.4
17993.3,24533.6,32.3
18939.8,24765.9,35.1
12352.5,5968.7,35.9
20188.0,23087.6,24.6
23165.0,16022.1,35.8
24153.6,4074.2,20.9
10219.6,7001.8,31.4
1619.8,21091.8,20.7
8884.5,13276.6,22.7
15425.2,24388.6,66.8
7553.5,8097.3,32.4
2149.0,14329.0,30.6
1739.8,17023.5,25.2
6623.7,1499.3,18.6
1448.1,19493.4,21.7
10398.9,6998.4,21.7
1968.2,16773.0,22.9
2197.7,14011.3,32.9
2086.2,15073.9,26.4
2616.4,12950.5,35.1
24161.9,4091.7,21.9
6576.3,1471.5,21.2
1448.9,19542.2,27.5
13763.5,24999.5,30.7
2249.8,24574.4,27.5
4194.7,25113.3,47.7
2286.7,13847.1,25.5
10440.5,21620.3,61.8
450.2,10957.1,23.9
24143.2,4037.3,20.1
2650.5,12860.1,34.7
24114.5,4063.3,19.6
1405.0,9995.8,20.2
2786.7,23235.2,53.3
422.5,11034.7,24.1
2565.9,17090.0,41.8
5788.7,5349.6,34.8
2299.9,24502.3,22.3
4844.2,21672.9,40.0
1948.7,16895.2,21.5
8426.3,23939.9,24.0
24130.4,4084.2,24.4
4427.6,25142.7,30.0
2753.4,24616.7,43.0
4138.0,24336.4,46.2
2890.8,8450.5,21.9
5218.2,22640.3,38.8
5650.5,5791.4,34.6
3250.6,11846.8,36.0
1615.2,22632.9,19.5
24223.5,4073.3,19.8
4400.6,25131.9,34.6
1184.4,10289.3,20.2
2856.1,24615.1,42.2
517.4,11065.3,22.9
5111.6,22502.8,37.9
2250.6,18868.4,31.4
5273.8,25147.2,34.8
7489.9,25255.8,43.3
2772.8,23237.9,55.9
24153.9,4079.7,16.8
4461.0,25159.1,30.7
2796.6,20089.7,41.5
3497.3,3936.8,43.7
3195.5,11784.9,42.6
3226.9,8181.9,20.8
8942.2,25058.6,28.0
5387.8,25143.9,35.2
4441.7,25148.7,34.0
1300.4,10294.3,19.9
507.3,11118.4,15.9
859.3,3691.3,74.3
4961.2,1112.6,24.9
3708.6,5673.8,60.3
5452.9,5920.8,32.3
10688.7,25249.3,29.1
3396.2,21434.8,43.1
5329.5,23004.7,47.6
1460.5,4549.1,36.9
10716.5,25253.3,21.3
2249.8,5038.1,38.7
5100.6,22569.9,56.4
11912.1,24783.5,18.6
6128.8,24846.4,37.6
2453.8,24557.1,23.9
5150.1,6315.2,33.6
2267.4,24135.8,37.6
20429.8,22003.6,18.8
4874.6,5882.1,22.2
5364.1,25249.0,30.7
8956.4,25052.6,24.1
1142.8,10367.7,21.8
587.3,11090.9,26.1
24184.1,4044.4,15.2
1282.6,10273.9,22.0
646.3,11087.5,26.4
4359.8,7151.7,26.3
3445.6,21418.0,27.6
5036.8,6281.7,19.4
3095.7,7118.9,30.7
4151.7,6310.6,54.1
7389.7,25230.4,43.6
1643.6,22796.7,16.4
1313.5,10265.1,19.1
3361.8,21544.8,36.8
2019.4,4998.3,23.6
24156.4,4042.1,16.2
2729.3,23274.5,52.0
507.1,11149.5,18.2
1442.1,7129.7,65.2
3250.3,20049.6,43.3
1671.1,22809.8,19.3
4144.0,7382.6,23.7
11184.4,12737.2,19.6
1106.5,10390.0,26.2
24136.4,4080.0,18.8
12476.1,24447.3,33.7
8905.4,25039.2,25.3
596.8,11126.3,32.1
1402.1,9311.2,42.4
5326.3,22787.4,40.8
24210.7,4062.2,22.3
6066.7,24339.8,43.9
3310.7,21745.2,42.3
2594.2,17310.6,49.9
2271.1,8464.0,45.1
4215.4,7284.1,25.3
4954.5,6321.5,19.4
1197.7,10308.4,17.4
5317.0,25249.6,32.3
577.7,11144.5,29.0
4085.3,6495.5,41.8
10961.1,25064.1,47.1
1644.0,22877.3,21.5
2472.1,8951.2,32.3
4890.4,6465.8,26.2
24168.2,4032.6,18.3
5673.2,23622.3,55.4
2893.6,24661.7,43.3
1526.3,9455.9,31.4
3858.8,20616.1,38.4
1580.0,6921.9,41.1
2725.5,4655.0,40.1
2848.4,7040.9,58.0
1931.0,4941.6,37.8
2525.1,6101.3,16.7
1597.5,22722.7,39.1
11578.0,24690.7,36.9
24191.4,4053.4,23.8
3435.9,8116.3,31.9
8898.4,25025.1,29.5
1265.7,10485.0,42.5
2759.8,24673.6,41.1
1563.6,22796.3,35.0
4651.8,6756.2,38.5
4072.0,24449.9,34.7
1209.0,10374.6,31.1
8933.8,25007.7,15.4
4465.2,25193.2,39.0
1556.5,19615.7,24.6
3154.4,6187.7,35.8
2547.6,7952.6,51.1
5553.1,23483.7,56.2
1802.0,4980.2,54.5
10678.8,25147.2,38.5
12645.1,24406.9,46.4
543.0,9045.9,51.1
3482.8,8095.3,21.7
1452.7,19623.0,29.5
11664.5,24636.5,51.8
3468.5,6510.7,22.4
8873.0,25052.4,34.2
5162.7,22663.0,41.1
1587.0,22855.4,19.0
1450.3,10124.9,33.7
2867.1,20202.2,48.8
2839.0,24709.9,45.2
605.5,11138.2,30.2
1728.0,4788.0,52.8
8866.4,25015.5,14.9
5666.8,5914.5,40.2
3515.2,8032.8,24.5
2735.9,23295.0,43.1
1095.8,3698.6,54.1
1524.8,22853.0,13.7
3566.7,8049.9,37.4
6381.4,25162.3,19.3
594.1,11108.6,27.4
5305.8,25251.9,32.4
5305.5,20378.7,13.3
3150.2,22382.7,37.0
3321.6,21575.0,27.7
10773.5,25096.0,41.7
3534.1,8082.4,21.2
1546.3,22857.2,18.7
1250.4,10339.0,26.3
2709.4,23324.6,42.8
566.0,11157.7,31.2
3143.3,6405.4,68.0
12246.6,24791.4,43.9
4090.4,24349.3,41.4
1848.9,4946.2,31.5
1257.4,10409.6,26.8
1574.5,22864.0,20.2
584.2,11175.0,31.8
1366.3,10529.4,43.0
1564.2,22746.1,41.5
8867.8,25029.4,36.6
5841.7,24122.9,47.6
1565.6,22875.9,18.6
3506.3,8073.3,23.5
1190.6,10503.6,21.0
1454.2,19606.0,32.3
2548.2,7945.4,67.9
1648.9,3028.7,20.5
4128.6,6326.6,32.4
7326.1,25357.2,43.7
4013.5,5435.7,46.8
3639.8,20270.6,55.5
1464.4,7628.1,52.2
5997.7,24248.5,50.6
4282.9,7414.6,26.6
1308.0,10453.9,22.0
2555.4,23499.6,45.8
624.6,11133.8,28.1
2625.9,7931.5,44.7
666.3,6942.4,40.2
5796.6,23964.5,37.8
1329.0,10460.6,17.9
1558.1,22888.5,17.5
665.1,11112.9,24.0
2882.4,24643.3,39.7
5233.2,25264.0,30.0
5203.8,5949.9,37.7
1369.4,10428.8,35.9
2751.8,23231.2,39.3
6346.0,25038.7,46.8
576.9,11123.2,23.6
1661.3,4753.7,48.7
3382.1,21464.1,33.3
1510.4,22815.6,20.0
1390.7,10473.2,39.3
4437.1,25261.3,41.4
623.7,11138.4,31.0
5240.6,25274.6,33.2
5477.5,23447.1,55.2
2968.3,20372.1,60.4
1555.9,4708.9,57.9
2285.1,9151.4,27.1
3994.4,7293.2,36.5
3439.7,8124.1,28.3
1833.6,3348.5,41.0
1279.3,10429.1,24.7
3374.7,21260.9,40.0
2528.3,17053.9,45.0
10020.7,23770.6,23.1
8808.8,25085.0,32.4
2323.0,17971.6,26.9
599.8,11125.4,25.0
2850.1,24647.3,41.6
2711.5,23285.1,39.2
5187.1,22798.9,40.7
5469.6,6040.8,42.0
523.4,4915.1,25.4
2450.3,9026.6,31.0
3058.9,2370.8,42.9
3819.2,24248.0,32.3
1463.7,10463.1,36.6
2749.5,23295.3,34.0
4432.6,25279.4,40.8
5230.5,25273.6,29.8
7320.1,25338.2,44.3
1384.9,10404.2,24.0
634.8,11105.3,26.0
2268.8,6747.6,49.9
8949.9,25036.2,27.3
4039.7,24389.9,25.5
5944.1,24349.0,50.4
2910.5,24680.9,45.6
1347.1,10433.2,17.2
4476.1,25305.3,31.7
608.0,11105.0,22.4
1550.6,21071.4,21.6
2535.5,16973.2,42.1
3807.1,24244.3,38.3
2361.6,17968.6,29.0
638.2,11112.4,30.8
4462.2,25237.5,35.4
5231.8,25257.9,24.5
3807.4,6173.3,26.4
3241.5,21541.0,56.2
3513.1,8072.5,33.9
2536.4,16896.6,41.9
1120.2,2802.5,10.5
2653.2,20143.1,42.2
5860.3,24123.8,49.4
1650.0,22923.3,27.9
1415.3,10502.0,39.9
2289.2,17941.1,33.9
576.3,11153.4,27.6
1974.1,3086.0,52.1
3737.9,7854.3,33.4
1448.1,5019.5,30.7
4956.6,22764.5,37.7
1491.3,10402.7,39.0
5551.6,23530.0,57.7
2536.9,8854.0,27.5
3301.1,21814.1,49.5
2502.8,17033.6,36.7
2701.9,23367.0,41.6
8982.9,25034.8,35.4
1200.1,7748.6,27.3
1295.5,888.2,18.4
4368.2,7261.6,32.1
1460.8,22749.9,36.4
1237.2,10536.3,43.6
8796.0,25050.0,38.4
2865.5,24705.9,40.2
2259.9,17897.0,28.1
580.8,11102.4,19.1
2413.4,4706.2,19.2
4374.5,22803.1,44.5
774.7,1135.8,43.4
846.8,4582.5,59.8
1706.4,22842.9,22.7
1313.5,10405.9,19.7
2278.1,17972.7,25.5
2714.5,23272.0,36.4
311.8,1148.8,57.9
3155.2,5880.2,47.1
707.2,4848.1,34.8
2285.3,2419.3,54.8
680.2,6243.2,32.1
3307.1,8254.0,24.3
20353.5,21941.6,16.6
2664.9,7129.2,36.5
8879.2,24994.2,14.5
1294.5,10533.6,41.5
5232.8,25268.6,28.7
1371.2,10474.5,48.7
5009.0,22758.3,51.2
2161.1,7102.8,41.2
3517.3,7897.1,26.5
8891.7,25100.9,22.9
2533.9,16882.8,44.8
7312.4,25431.5,42.9
2253.4,17958.4,24.6
3574.3,20127.1,44.9
1969.0,4685.9,30.8
7367.2,25421.0,40.7
5132.3,22822.5,65.8
1546.8,22915.1,31.8
920.0,4689.9,10.6
1462.0,10423.4,36.4
8936.0,25017.7,30.8
590.2,11190.6,33.2
5227.5,25263.9,24.5
1248.9,6590.5,29.7
20397.0,21986.0,19.0
2021.1,5148.9,35.4
1581.8,22976.6,18.4
2313.6,4240.9,47.3
3571.7,5787.6,27.9
1444.9,10530.9,41.3
638.4,11163.6,35.3
2676.8,23346.9,37.5
3295.2,21516.9,37.9
2471.4,17102.2,44.8
5987.1,24427.7,53.1
982.0,4973.2,17.6
2251.6,17964.1,34.9
1779.7,5701.8,54.2
5351.8,5980.2,32.0
5224.6,22763.5,48.8
1003.1,2913.5,13.9
1096.2,989.1,9.3
1515.7,22913.0,18.6
1316.3,10539.9,45.2
2255.9,17922.0,36.5
601.0,11160.1,30.1
5207.0,25267.7,24.9
3289.4,21878.0,28.4
7312.4,25246.0,45.0
1493.8,22873.4,21.9
4102.9,7643.9,28.2
8925.8,25008.8,14.8
2271.6,17894.5,28.9
4961.9,6226.5,38.0
2792.3,2509.0,22.6
1391.3,10494.8,50.7
729.8,1116.2,36.4
3236.0,21654.0,46.7
753.8,4741.2,36.7
1585.4,22951.3,22.5
687.0,11151.5,26.5
1207.3,5546.2,86.7
3313.4,4150.3,23.1
5782.5,24149.7,45.0
2051.3,2425.0,38.1
5084.1,6102.8,29.5
1263.3,10579.3,57.9
1807.9,4182.3,37.1
3376.8,21911.3,25.3
5236.3,25277.4,28.0
3162.3,21554.1,53.9
20388.5,21976.5,19.5
710.3,4747.7,32.3
2482.0,16956.3,44.1
8979.2,25030.7,28.2
1415.1,10458.8,54.8
2268.7,18041.3,31.7
1530.1,22896.3,26.3
2657.2,23298.6,37.8
1329.4,10539.6,38.3
8876.9,24998.9,21.1
2303.7,9618.3,34.1
2459.7,17240.1,41.2
2707.3,23259.2,36.4
679.7,11139.1,31.2
3116.0,4806.4,44.6
1215.6,10631.0,49.1
8942.5,25068.8,19.9
696.2,11171.1,32.3
2785.2,4846.3,49.4
1320.5,10454.5,41.0
5695.3,23943.9,41.3
2703.4,23271.7,39.0
1845.7,23742.1,43.9
3172.6,22519.7,41.6
2699.8,8049.8,41.8
4976.0,22730.5,33.5
1290.0,4897.6,14.7
1326.1,10507.8,47.9
20360.9,21992.3,13.8
2752.4,24703.4,45.5
1511.6,21069.1,17.0
20391.3,21962.3,18.7
4344.7,22777.9,31.7
626.4,910.1,33.8
839.5,2367.9,52.1
8905.3,24981.8,19.8
1384.0,10456.7,39.3
603.6,11166.6,39.7
2228.3,18018.3,26.8
2203.4,18059.3,32.6
1520.4,22945.4,19.3
8878.3,25018.4,25.3
477.2,11146.8,27.0
2692.4,23288.7,41.7
3465.3,8415.4,62.7
3153.4,21793.3,28.1
625.5,3233.2,30.1
1414.4,10467.3,37.2
2540.6,17036.2,38.9
459.4,11137.2,26.7
8939.4,25022.0,32.0
2224.2,18049.0,34.5
1470.3,22874.2,21.0
2671.4,23349.2,40.3
1669.5,4929.3,56.2
2509.2,16952.0,32.7
8904.4,25017.5,18.7
1233.8,10507.8,29.3
413.4,11151.8,21.6
8929.1,25026.8,27.8
1441.1,23014.9,21.1
2214.5,18060.4,32.7
1527.8,21047.3,15.6
8906.5,25038.4,31.5
2223.2,18092.2,32.2
516.0,11140.6,26.1
1166.5,9674.4,29.8
411.5,11186.1,26.0
3109.2,21617.0,57.0
1415.2,10543.4,39.5
8953.7,25024.9,31.7
11837.2,14272.0,12.5
1522.4,21084.9,20.9
857.3,3452.0,44.4
2506.0,16999.7,38.1
8953.3,25086.5,38.8
608.2,11103.8,21.4
2210.9,18048.1,37.9
1528.1,22898.2,21.8
5242.7,25291.7,24.7
8885.3,25061.2,36.9
11839.8,14257.7,22.5
2051.9,18242.6,32.1
1469.7,23013.8,25.6
2703.1,23240.5,39.2
2510.8,2676.9,25.6
1806.4,3862.7,3340.0
5340.3,23938.4,54.3
2799.8,7782.2,13.9
3247.9,1916.6,28.7
8790.1,25075.7,30.6
458.2,11081.0,25.4
1435.9,19722.3,25.6
3476.0,8049.4,25.7
8877.1,25034.3,31.6
391.7,11167.6,30.4
964.9,2603.4,31.1
3374.4,22172.9,25.0
2730.6,23235.4,40.6
5251.5,25276.5,26.5
1642.6,24775.9,40.9
8920.4,25027.5,36.2
3311.7,8543.1,33.9
6249.9,9017.6,26.7
463.4,11113.4,20.9
1360.9,10485.9,46.3
1463.7,535.6,51.4
1418.7,3108.9,13.7
684.8,7336.7,29.0
2851.0,8964.0,46.4
8049.5,24583.6,52.7
9059.5,25048.1,40.5
4271.4,7532.8,34.7
498.3,11119.4,26.4
2189.1,18070.1,35.5
2726.9,23216.0,35.5
1502.8,19717.0,33.7
2495.8,7414.1,12.2
8917.0,25058.7,30.8
4514.1,6961.7,32.7
3942.8,7587.6,27.9
1199.2,10576.1,29.3
2810.0,5482.0,22.7
1430.2,19711.6,29.5
535.8,11175.9,20.7
6333.8,25007.7,44.2
6090.7,23344.8,55.0
8885.8,25073.9,51.6
7257.2,25416.2,45.1
597.7,11205.1,53.5
1020.9,2045.8,28.8
5540.8,6122.1,39.4
1295.6,10532.9,45.5
8918.6,25055.2,29.6
3933.1,7697.1,27.2
492.1,11171.9,17.8
1645.1,23045.2,26.7
1427.9,19718.3,26.3
5222.4,25280.5,26.5
4889.9,22354.6,47.9
3821.0,2754.0,44.5
2566.3,16951.5,36.9
3946.3,7715.9,38.9
8981.6,25038.3,29.7
473.1,11184.2,47.9
5635.7,6101.9,18.6
2712.8,23218.0,39.4
662.1,6571.4,34.7
8940.1,25048.1,33.3
1466.9,22993.1,24.6
643.8,11216.3,36.6
5602.3,6111.4,19.0
4464.2,22550.0,71.9
1509.0,22850.0,38.8
639.1,11253.0,36.0
1604.5,19763.1,23.4
2712.1,23230.6,36.4
5647.3,6108.2,15.6
944.9,6703.6,48.8
785.3,1876.5,37.9
2150.2,9946.3,40.6
614.4,4597.5,11.3
5458.3,6074.0,39.8
665.3,11233.1,37.2
686.5,11286.9,35.2
2538.4,16918.0,37.7
2878.8,21096.4,37.4
3009.0,7752.7,35.8
1539.0,23110.5,21.6
1347.6,10554.9,48.4
608.2,11221.8,31.7
3052.5,21354.7,49.4
1547.2,24718.0,40.8
23201.4,4238.0,24.7
1655.5,8142.1,28.0
8931.2,25107.4,38.6
2321.4,3147.3,30.1
839.7,5556.9,31.3
850.7,1520.7,34.0
3071.2,8850.3,36.4
1066.9,7502.5,57.8
8982.5,25106.7,30.9
1475.6,22959.6,22.4
578.7,11215.7,36.4
3484.7,8585.4,10.9
4945.1,5952.0,43.7
3772.3,24449.2,27.7
6305.2,25257.9,24.1
20636.8,4979.1,12.7
668.6,11250.6,33.2
1461.4,19712.5,25.1
3399.3,8236.4,26.5
4191.1,11608.3,36.7
1904.8,3669.8,30.4
8955.1,25084.8,25.3
639.5,11246.9,39.9
2893.6,21863.4,36.9
5178.3,16565.2,14.3
1516.3,21042.5,16.7
1449.2,24850.8,39.9
1314.7,6376.9,33.1
2302.8,17855.6,41.1
654.7,11208.3,39.4
1602.5,3218.7,13.2
9025.9,25041.8,24.1
4847.0,22821.7,37.2
2122.2,19206.2,42.5
5896.4,24326.2,43.9
522.3,11202.8,26.6
6403.9,25137.8,33.2
2335.6,17855.3,38.0
2200.1,19563.2,36.8
5229.8,25278.7,27.2
5978.7,24543.5,51.5
6296.8,25162.2,21.8
9888.4,6784.4,19.2
685.0,11246.1,33.3
2736.2,23217.4,35.0
23967.6,15207.7,21.2
623.0,11274.6,37.8
1416.2,19738.3,27.1
2715.7,23236.5,36.7
1517.5,10361.1,37.3
899.0,6697.3,25.2
8983.0,25080.7,27.1
23966.5,15154.5,19.7
551.5,1913.6,16.5
1537.0,22932.3,19.2
597.7,11227.7,34.8
6295.1,25247.5,22.9
23996.8,15209.5,20.3
1520.9,22900.2,19.9
2168.1,19418.1,37.1
5247.4,23675.9,41.1
2253.5,17674.6,37.0
676.3,11263.3,33.1
6249.1,25228.6,29.5
2730.3,23162.0,34.6
1523.5,21071.9,17.6
7279.3,25308.2,52.8
23983.8,15175.1,16.9
2650.7,1122.3,45.8
9141.2,25059.0,48.7
597.0,6009.7,9.5
4331.4,25246.6,38.6
6301.0,25205.4,24.9
2243.7,17823.4,39.1
2708.2,23163.7,38.3
5212.9,25296.2,28.9
1518.9,21084.5,18.6
2046.7,19117.1,38.4
6161.5,25162.4,23.5
2259.2,17746.6,37.2
705.7,11287.5,28.8
2686.4,23229.2,37.1
1337.5,19739.0,19.9
3379.2,8175.4,33.8
1648.7,23204.6,33.7
8968.6,25069.0,34.3
682.8,11268.1,32.2
1518.3,21075.1,20.2
5952.7,24524.7,44.9
1050.0,4151.6,43.8
1851.8,6762.8,37.3
650.8,11216.6,39.6
2277.6,17737.3,29.9
2701.8,20181.4,51.4
1196.0,661.3,39.7
3279.3,8655.9,32.9
2185.4,1797.9,13.8
2285.4,17843.4,42.3
627.6,11222.8,36.8
4364.0,25232.3,40.8
5234.2,25310.4,32.3
1490.3,21119.8,18.4
2533.7,20086.7,47.5
5956.7,24447.7,40.1
684.1,4768.6,39.3
604.7,11248.2,33.5
6333.1,25186.0,23.0
5212.8,25310.1,29.2
2653.1,23231.5,38.4
872.9,1139.2,70.2
2158.6,4318.4,47.2
2291.7,6033.1,20.5
2547.5,8548.7,29.1
1538.7,10373.1,35.1
2311.8,17789.2,42.3
650.7,11288.0,45.5
8900.1,25093.7,42.2
1512.1,19674.9,33.7
2041.1,20417.7,24.7
