x,y,sd
12673.0,7661.9,42.9
2131.2,6345.5,35.4
13626.8,16012.5,32.0
7864.5,14680.8,38.1
8163.5,17797.2,39.1
8683.5,15648.4,23.0
2783.3,8652.0,26.5
17566.8,9293.0,26.0
16586.9,8302.5,27.7
4070.0,16922.0,38.7
2925.6,8812.6,29.1
15501.1,23690.6,24.2
1473.0,4740.7,33.8
9532.5,20120.3,25.9
9130.4,16971.5,33.9
18383.2,10178.7,31.3
3572.2,17505.0,22.2
6588.0,14677.6,36.2
10948.3,13245.9,34.0
17200.9,5203.7,20.8
6041.0,18343.5,48.1
2519.6,6078.1,27.9
16603.8,8377.4,24.8
1169.5,4597.7,25.9
7958.0,16768.9,32.5
526.5,10828.9,31.2
1420.3,2152.4,28.1
10194.6,13949.9,26.1
11074.5,11817.6,23.5
7177.3,12833.7,28.9
2553.3,6063.4,37.3
16070.4,9505.9,21.2
3130.0,4891.9,26.3
7147.5,15734.2,31.0
2976.3,20749.5,47.2
3757.4,6423.9,25.7
734.5,11035.2,39.1
13919.7,10665.9,19.1
9561.4,14670.5,29.6
7355.2,16834.4,30.6
21497.8,4607.0,16.4
12755.1,7969.2,22.6
14579.0,5136.7,19.2
3020.4,2336.6,26.8
5748.7,14883.9,24.4
8746.1,13352.9,27.1
7456.8,11233.6,29.1
837.0,11209.1,21.2
1220.2,7905.9,34.0
6658.6,3118.5,25.2
9940.5,10700.0,44.3
2350.2,9510.3,25.0
2533.2,3245.0,23.3
18025.9,6875.1,26.0
5273.4,18661.3,33.1
2564.9,5970.3,27.1
12608.3,13965.9,13.5
2738.5,6465.0,40.7
930.7,4429.8,34.4
1616.3,2224.0,45.5
12596.0,13961.7,20.7
1336.1,7480.1,21.5
10919.3,13265.2,30.8
2153.8,6995.4,32.8
15485.9,23734.8,22.6
13821.3,10405.0,24.0
3083.3,5304.4,22.3
2206.6,1866.1,38.4
13572.3,10427.9,25.5
2560.7,5336.5,44.7
3782.3,3386.6,31.1
6868.2,13980.4,13.4
7247.6,15695.3,38.0
2102.6,3000.0,37.3
8982.9,11068.5,25.4
6579.3,19703.0,19.3
5627.5,874.7,26.6
4288.0,19795.4,46.2
675.1,6260.0,26.7
12681.7,5730.4,27.8
1385.1,2302.3,31.1
3335.3,2059.5,21.1
4558.4,13162.3,20.7
5337.2,5720.7,48.2
2302.5,5279.3,20.3
3979.2,5561.7,23.6
1391.7,5643.8,32.8
2414.8,6115.5,24.1
7184.3,15780.0,28.5
7107.3,14459.0,21.1
2082.3,4206.1,30.5
9646.2,11167.7,17.4
716.4,6195.8,30.9
901.9,6856.7,34.1
16521.7,10766.1,36.6
21483.7,4591.4,16.6
2008.6,3621.4,34.8
9645.8,11162.9,15.8
3469.0,19126.8,27.4
4740.4,11865.0,24.3
10044.0,15187.9,22.3
7182.0,12225.1,30.0
2166.2,2905.5,28.8
